Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
80,82.8271028,0.472018363,0.801952916,0.809764807,0.801202806,1449379290,67.21311475,98.3974359,76.12903226,54.48275862,89.3442623,70.62937063,94.59459459,97.0212766,"[[82, 1, 0, 23, 10, 6, 0, 0], [2, 307, 0, 1, 0, 0, 2, 0], [0, 0, 118, 6, 16, 4, 4, 7], [13, 2, 9, 158, 22, 68, 18, 0], [2, 0, 6, 5, 109, 0, 0, 0], [2, 0, 1, 39, 0, 101, 0, 0], [0, 8, 1, 5, 4, 0, 315, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
81,82.35981308,0.51466987,0.792405801,0.815835713,0.800286674,1466599638,76.2295082,98.71794872,83.87096774,54.82758621,86.06557377,72.02797203,88.58858859,92.34042553,"[[93, 1, 0, 15, 8, 5, 0, 0], [2, 308, 0, 1, 0, 0, 1, 0], [1, 0, 130, 4, 10, 5, 3, 2], [28, 2, 9, 159, 20, 63, 9, 0], [3, 0, 9, 5, 105, 0, 0, 0], [5, 0, 2, 33, 0, 103, 0, 0], [1, 22, 3, 8, 4, 0, 295, 0], [0, 0, 18, 0, 0, 0, 0, 217]]"
82,79.6728972,0.494827719,0.813652683,0.725444727,0.724036581,1488125073,68.85245902,96.79487179,61.29032258,86.89655172,71.31147541,4.895104895,91.59159159,98.72340426,"[[84, 1, 0, 34, 3, 0, 0, 0], [8, 302, 0, 1, 0, 0, 1, 0], [0, 0, 95, 21, 13, 0, 7, 19], [14, 0, 0, 252, 9, 3, 12, 0], [5, 0, 5, 25, 87, 0, 0, 0], [0, 0, 0, 136, 0, 7, 0, 0], [0, 6, 0, 22, 0, 0, 305, 0], [0, 0, 3, 0, 0, 0, 0, 232]]"
83,78.38785047,0.562069608,0.780581037,0.791203859,0.741755595,1508215479,93.44262295,98.07692308,60.64516129,22.06896552,90.16393443,76.22377622,94.89489489,97.44680851,"[[114, 1, 0, 0, 4, 3, 0, 0], [4, 306, 0, 1, 0, 0, 1, 0], [5, 0, 94, 1, 33, 5, 9, 8], [105, 1, 4, 64, 18, 78, 20, 0], [11, 0, 0, 1, 110, 0, 0, 0], [28, 0, 1, 4, 0, 109, 1, 0], [5, 5, 0, 3, 3, 1, 316, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
84,82.30140187,0.471957644,0.794681031,0.802292047,0.79431768,1529740914,74.59016393,98.07692308,70.32258065,59.65517241,90.98360656,58.74125874,91.59159159,97.87234043,"[[91, 1, 0, 21, 8, 1, 0, 0], [4, 306, 0, 1, 0, 0, 1, 0], [0, 0, 109, 9, 20, 3, 5, 9], [27, 2, 4, 173, 25, 47, 12, 0], [4, 0, 3, 4, 111, 0, 0, 0], [4, 0, 2, 53, 0, 84, 0, 0], [1, 16, 0, 7, 4, 0, 305, 0], [0, 0, 5, 0, 0, 0, 0, 230]]"
85,74.00700935,0.676918031,0.763782577,0.738512393,0.675893546,1546961262,25.40983607,91.34615385,79.35483871,9.655172414,95.90163934,97.9020979,95.4954955,95.74468085,"[[31, 1, 0, 1, 23, 66, 0, 0], [15, 285, 0, 1, 2, 3, 6, 0], [0, 0, 123, 0, 19, 7, 3, 3], [2, 0, 16, 28, 39, 189, 16, 0], [0, 0, 5, 0, 117, 0, 0, 0], [0, 0, 3, 0, 0, 140, 0, 0], [0, 0, 4, 2, 4, 5, 318, 0], [0, 0, 10, 0, 0, 0, 0, 225]]"
86,72.2546729,0.742857478,0.665226256,0.69732779,0.660516517,1562746581,90.98360656,97.75641026,68.38709677,67.93103448,77.04918033,0,59.15915916,96.59574468,"[[111, 1, 0, 7, 3, 0, 0, 0], [6, 305, 0, 1, 0, 0, 0, 0], [4, 0, 106, 17, 21, 0, 2, 5], [77, 1, 2, 197, 11, 0, 2, 0], [20, 0, 1, 7, 94, 0, 0, 0], [23, 0, 0, 120, 0, 0, 0, 0], [4, 85, 0, 47, 0, 0, 197, 0], [0, 0, 8, 0, 0, 0, 0, 227]]"
87,68.69158879,0.757826406,0.722342561,0.670455063,0.609505105,1579966929,8.196721311,77.56410256,71.61290323,5.517241379,77.04918033,98.6013986,99.0990991,98.72340426,"[[10, 0, 0, 3, 13, 94, 2, 0], [7, 242, 0, 0, 2, 3, 56, 2], [0, 0, 111, 1, 7, 10, 8, 18], [0, 0, 7, 16, 18, 199, 50, 0], [0, 0, 17, 1, 94, 7, 3, 0], [0, 0, 1, 0, 0, 141, 1, 0], [0, 0, 0, 1, 0, 2, 330, 0], [0, 0, 3, 0, 0, 0, 0, 232]]"
88,78.27102804,0.576753323,0.758534282,0.790473856,0.73805614,1594317219,86.8852459,97.11538462,67.74193548,22.06896552,96.72131148,69.93006993,94.89489489,97.0212766,"[[106, 1, 0, 0, 11, 4, 0, 0], [6, 303, 0, 1, 0, 0, 2, 0], [2, 0, 105, 1, 35, 2, 3, 7], [65, 3, 10, 64, 58, 73, 17, 0], [3, 0, 1, 0, 118, 0, 0, 0], [24, 0, 4, 11, 3, 100, 1, 0], [0, 7, 0, 4, 6, 0, 316, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
89,77.92056075,0.562143584,0.768973159,0.710547966,0.701370457,1610102538,4.918032787,95.83333333,80,61.03448276,55.73770492,77.62237762,96.6966967,96.59574468,"[[6, 1, 0, 92, 3, 20, 0, 0], [4, 299, 0, 4, 0, 0, 5, 0], [0, 0, 124, 11, 2, 6, 8, 4], [0, 0, 3, 177, 5, 87, 18, 0], [0, 0, 18, 36, 68, 0, 0, 0], [0, 0, 1, 30, 0, 111, 1, 0], [0, 0, 0, 11, 0, 0, 322, 0], [0, 0, 8, 0, 0, 0, 0, 227]]"
