Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
66,66.70560748,0.812984013,0.689001689,0.64401804,0.602968962,2396730908,96.72131148,96.47435897,56.77419355,43.44827586,63.1147541,0.699300699,60.96096096,97.0212766,"[[118, 1, 0, 3, 0, 0, 0, 0], [9, 301, 0, 1, 0, 0, 1, 0], [10, 0, 88, 9, 37, 0, 3, 8], [148, 0, 0, 126, 9, 1, 6, 0], [43, 0, 0, 2, 77, 0, 0, 0], [44, 1, 1, 96, 0, 1, 0, 0], [15, 97, 0, 16, 2, 0, 203, 0], [0, 0, 6, 0, 1, 0, 0, 228]]"
67,75.93457944,0.573451965,0.769335106,0.731925277,0.704680595,2434000647,27.04918033,95.83333333,54.83870968,27.24137931,88.52459016,94.40559441,98.4984985,99.14893617,"[[33, 1, 0, 24, 7, 55, 2, 0], [4, 299, 0, 1, 0, 0, 7, 1], [0, 0, 85, 5, 19, 7, 14, 25], [5, 1, 2, 79, 15, 145, 43, 0], [0, 0, 2, 11, 108, 0, 1, 0], [0, 0, 1, 6, 0, 135, 1, 0], [0, 0, 0, 4, 0, 0, 328, 1], [0, 0, 2, 0, 0, 0, 0, 233]]"
68,76.10981308,0.586296393,0.733850221,0.72735883,0.705870815,2477004192,81.14754098,98.3974359,68.38709677,65.86206897,83.60655738,11.18881119,76.27627628,97.0212766,"[[99, 1, 0, 18, 4, 0, 0, 0], [3, 307, 0, 1, 0, 0, 1, 0], [3, 0, 106, 11, 26, 0, 1, 8], [53, 2, 5, 191, 18, 16, 5, 0], [13, 0, 3, 4, 102, 0, 0, 0], [11, 0, 1, 115, 0, 16, 0, 0], [4, 50, 1, 17, 7, 0, 254, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
69,75.87616822,0.592620082,0.770399033,0.757037761,0.714351458,2505673222,93.44262295,96.47435897,67.09677419,17.24137931,63.93442623,75.52447552,94.89489489,97.0212766,"[[114, 1, 0, 1, 2, 3, 1, 0], [5, 301, 0, 1, 0, 0, 5, 0], [8, 0, 104, 1, 16, 5, 14, 7], [114, 0, 3, 50, 8, 92, 23, 0], [35, 0, 6, 3, 78, 0, 0, 0], [33, 0, 1, 0, 0, 108, 1, 0], [5, 8, 0, 2, 1, 1, 316, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
70,77.45327103,0.547904103,0.75805423,0.685606145,0.68084926,2545809864,4.098360656,97.11538462,82.58064516,76.55172414,64.75409836,31.46853147,94.89489489,97.0212766,"[[5, 1, 0, 107, 8, 1, 0, 0], [3, 303, 0, 3, 0, 0, 3, 0], [0, 0, 128, 12, 3, 1, 4, 7], [0, 1, 7, 222, 11, 37, 12, 0], [0, 0, 24, 19, 79, 0, 0, 0], [0, 0, 2, 96, 0, 45, 0, 0], [0, 3, 2, 12, 0, 0, 316, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
71,76.63551402,0.588246545,0.742300404,0.739559411,0.718162209,2585946506,92.62295082,98.3974359,71.61290323,45.51724138,75.40983607,22.37762238,90.39039039,95.31914894,"[[113, 1, 0, 6, 2, 0, 0, 0], [3, 307, 0, 1, 0, 0, 1, 0], [4, 0, 111, 9, 20, 0, 8, 3], [98, 3, 3, 132, 8, 28, 18, 0], [24, 0, 4, 2, 92, 0, 0, 0], [35, 0, 1, 74, 0, 32, 1, 0], [5, 22, 0, 4, 1, 0, 301, 0], [0, 0, 11, 0, 0, 0, 0, 224]]"
72,77.80373832,0.552141176,0.78089424,0.775036527,0.738063957,2628950051,52.45901639,93.91025641,78.06451613,21.03448276,86.8852459,93.00699301,98.4984985,96.17021277,"[[64, 0, 0, 6, 16, 34, 2, 0], [7, 293, 0, 1, 0, 0, 11, 0], [0, 0, 121, 0, 14, 6, 9, 5], [6, 1, 9, 61, 30, 144, 39, 0], [0, 0, 14, 2, 106, 0, 0, 0], [1, 0, 2, 6, 0, 133, 1, 0], [0, 0, 1, 2, 1, 1, 328, 0], [0, 0, 9, 0, 0, 0, 0, 226]]"
73,74.18224299,0.628062946,0.781912295,0.674007648,0.655829932,2663352887,40.98360656,94.23076923,49.03225806,87.24137931,92.62295082,2.097902098,75.97597598,97.0212766,"[[50, 0, 0, 64, 8, 0, 0, 0], [14, 294, 0, 2, 0, 0, 2, 0], [0, 0, 76, 14, 56, 0, 1, 8], [7, 0, 1, 253, 27, 1, 1, 0], [3, 0, 0, 6, 113, 0, 0, 0], [0, 0, 0, 140, 0, 3, 0, 0], [0, 5, 0, 58, 17, 0, 253, 0], [0, 0, 6, 0, 1, 0, 0, 228]]"
74,76.75233645,0.582454366,0.782821891,0.773527058,0.722348513,2697755723,52.45901639,94.87179487,80,13.44827586,88.52459016,97.9020979,94.59459459,97.0212766,"[[64, 1, 2, 1, 12, 42, 0, 0], [11, 296, 0, 0, 0, 1, 4, 0], [0, 0, 124, 0, 14, 6, 3, 8], [7, 0, 16, 39, 34, 181, 13, 0], [3, 0, 11, 0, 108, 0, 0, 0], [0, 0, 2, 1, 0, 140, 0, 0], [0, 2, 4, 4, 5, 3, 315, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
75,74.5911215,0.700713475,0.772863556,0.764142991,0.690492841,2740759268,86.06557377,99.03846154,61.29032258,1.379310345,90.16393443,85.31468531,91.89189189,96.17021277,"[[105, 5, 0, 0, 5, 6, 1, 0], [1, 309, 0, 0, 0, 0, 2, 0], [5, 0, 95, 0, 24, 4, 21, 6], [73, 12, 3, 4, 16, 118, 64, 0], [9, 0, 2, 0, 110, 0, 1, 0], [19, 0, 1, 0, 0, 122, 1, 0], [1, 25, 0, 0, 0, 1, 306, 0], [0, 0, 8, 0, 1, 0, 0, 226]]"
