Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
12,32.71028037,1.589997422,0.139814752,0.280025186,0.172849195,212384531,0,0,85.16129032,80,0,0,58.85885886,0,"[[0, 0, 3, 109, 0, 0, 10, 0], [0, 0, 2, 293, 0, 0, 17, 0], [0, 0, 132, 14, 0, 0, 9, 0], [0, 0, 10, 232, 0, 0, 48, 0], [0, 0, 62, 13, 0, 0, 47, 0], [0, 0, 2, 141, 0, 0, 0, 0], [0, 0, 93, 44, 0, 0, 196, 0], [0, 0, 235, 0, 0, 0, 0, 0]]"
13,43.57476636,1.416668055,0.330436682,0.406534266,0.329912644,233909991,0,43.58974359,30.32258065,0,0,93.00699301,59.15915916,99.14893617,"[[0, 49, 0, 0, 0, 68, 5, 0], [0, 136, 0, 0, 0, 172, 2, 2], [0, 12, 47, 0, 0, 6, 41, 49], [0, 113, 0, 0, 0, 150, 27, 0], [0, 39, 14, 0, 0, 1, 68, 0], [0, 9, 0, 0, 0, 133, 1, 0], [0, 125, 3, 0, 0, 6, 197, 2], [0, 0, 1, 0, 0, 0, 1, 233]]"
14,44.04205607,1.44734742,0.351824061,0.409581801,0.318427644,255435450,0,5.448717949,47.74193548,0,0,86.01398601,99.0990991,89.36170213,"[[0, 7, 0, 0, 0, 71, 44, 0], [0, 17, 1, 0, 0, 160, 134, 0], [0, 0, 74, 0, 0, 6, 74, 1], [0, 6, 0, 0, 0, 142, 142, 0], [0, 0, 5, 0, 0, 0, 117, 0], [0, 5, 0, 0, 0, 123, 15, 0], [0, 1, 0, 0, 0, 2, 330, 0], [0, 0, 23, 0, 0, 0, 2, 210]]"
15,39.48598131,1.497997675,0.329587949,0.340804936,0.285979987,276960906,0,99.35897436,65.16129032,0,0,3.496503497,14.41441441,90.21276596,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 310, 1, 0, 1, 0, 0, 0], [0, 31, 101, 0, 1, 1, 19, 2], [0, 263, 2, 0, 0, 20, 5, 0], [0, 82, 25, 0, 0, 0, 15, 0], [0, 138, 0, 0, 0, 5, 0, 0], [0, 282, 3, 0, 0, 0, 48, 0], [0, 0, 22, 0, 0, 0, 1, 212]]"
16,49.24065421,1.285715673,0.405306447,0.500657006,0.412039721,298486365,0,41.02564103,32.90322581,0,77.86885246,85.31468531,64.26426426,99.14893617,"[[0, 39, 0, 0, 16, 66, 1, 0], [0, 128, 0, 0, 17, 145, 20, 2], [0, 5, 51, 0, 36, 5, 9, 49], [0, 66, 0, 0, 36, 138, 50, 0], [0, 3, 11, 0, 95, 0, 13, 0], [0, 18, 0, 0, 2, 122, 1, 0], [0, 14, 12, 0, 91, 2, 214, 0], [0, 0, 1, 0, 1, 0, 0, 233]]"
17,38.02570093,1.620822361,0.316838823,0.351132008,0.247807429,317141764,0,0,83.22580645,94.82758621,0,0,5.405405405,97.44680851,"[[0, 0, 3, 119, 0, 0, 0, 0], [0, 0, 2, 309, 0, 0, 0, 1], [0, 0, 129, 18, 0, 0, 0, 8], [0, 0, 14, 275, 0, 0, 1, 0], [0, 0, 66, 56, 0, 0, 0, 0], [0, 0, 1, 142, 0, 0, 0, 0], [0, 0, 120, 195, 0, 0, 18, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
18,44.9182243,1.83943984,0.241384933,0.334711175,0.263201276,332927101,0,65.38461538,0,0,0,8.391608392,99.0990991,94.89361702,"[[0, 81, 0, 0, 0, 9, 32, 0], [0, 204, 0, 0, 0, 2, 106, 0], [0, 5, 0, 0, 0, 1, 146, 3], [0, 126, 0, 0, 0, 38, 126, 0], [0, 1, 0, 0, 0, 0, 121, 0], [0, 121, 0, 0, 0, 12, 10, 0], [0, 3, 0, 0, 0, 0, 330, 0], [0, 0, 0, 0, 0, 0, 12, 223]]"
19,46.90420561,1.349273816,0.45350201,0.449883241,0.411866925,354452558,0,90.06410256,57.41935484,0,50.81967213,40.55944056,29.12912913,91.91489362,"[[0, 101, 0, 0, 3, 18, 0, 0], [0, 281, 1, 0, 1, 28, 0, 1], [0, 15, 89, 0, 42, 2, 5, 2], [0, 207, 0, 0, 11, 65, 7, 0], [0, 51, 7, 0, 62, 1, 1, 0], [0, 83, 1, 0, 1, 58, 0, 0], [0, 192, 6, 0, 36, 2, 97, 0], [0, 0, 18, 0, 1, 0, 0, 216]]"
20,35.86448598,1.413036179,0.301274947,0.389271218,0.295436942,373107953,97.54098361,1.282051282,78.06451613,0,0,0,54.95495495,79.57446809,"[[119, 0, 0, 0, 0, 0, 3, 0], [306, 4, 2, 0, 0, 0, 0, 0], [16, 0, 121, 1, 0, 0, 16, 1], [259, 8, 5, 0, 0, 0, 18, 0], [40, 4, 45, 0, 0, 0, 33, 0], [141, 0, 1, 0, 0, 0, 1, 0], [88, 46, 16, 0, 0, 0, 183, 0], [0, 0, 47, 0, 0, 0, 1, 187]]"
21,50.75934579,1.247413788,0.358542309,0.388059123,0.353328237,390328323,0,54.16666667,27.09677419,44.82758621,0,0,96.6966967,87.65957447,"[[0, 53, 0, 53, 0, 0, 16, 0], [0, 169, 0, 108, 0, 0, 35, 0], [0, 7, 42, 4, 0, 0, 101, 1], [0, 78, 0, 130, 0, 0, 82, 0], [0, 3, 2, 1, 0, 0, 116, 0], [0, 27, 0, 114, 0, 0, 2, 0], [0, 7, 0, 4, 0, 0, 322, 0], [0, 0, 27, 0, 0, 0, 2, 206]]"
