Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
65,80.66588785,0.495438463,0.781309691,0.807429181,0.779083779,1136407496,73.7704918,95.83333333,76.77419355,36.55172414,86.8852459,86.01398601,93.09309309,97.0212766,"[[90, 1, 0, 7, 12, 12, 0, 0], [8, 299, 0, 1, 0, 0, 4, 0], [0, 0, 119, 6, 13, 5, 4, 8], [23, 0, 8, 106, 26, 112, 15, 0], [3, 0, 8, 5, 106, 0, 0, 0], [2, 0, 1, 16, 0, 123, 1, 0], [1, 3, 1, 10, 6, 1, 310, 1], [0, 0, 7, 0, 0, 0, 0, 228]]"
66,74.5911215,0.628103413,0.736340582,0.724690942,0.698990753,1150165456,95.08196721,94.87179487,65.80645161,39.65517241,77.04918033,21.67832168,88.58858859,97.0212766,"[[116, 1, 0, 1, 4, 0, 0, 0], [14, 296, 0, 1, 0, 0, 1, 0], [5, 0, 102, 11, 25, 0, 4, 8], [127, 0, 4, 115, 12, 24, 8, 0], [23, 0, 3, 2, 94, 0, 0, 0], [47, 0, 1, 64, 0, 31, 0, 0], [8, 12, 0, 15, 2, 0, 295, 1], [0, 0, 7, 0, 0, 0, 0, 228]]"
67,76.10981308,0.606749392,0.753796314,0.738911743,0.719639949,1168050804,94.26229508,97.43589744,56.12903226,42.06896552,75.40983607,38.46153846,89.48948949,97.87234043,"[[115, 1, 0, 2, 4, 0, 0, 0], [6, 304, 0, 1, 0, 0, 1, 0], [6, 0, 87, 10, 25, 2, 10, 15], [108, 1, 0, 122, 10, 33, 16, 0], [26, 0, 0, 4, 92, 0, 0, 0], [36, 0, 1, 51, 0, 55, 0, 0], [5, 19, 0, 10, 1, 0, 298, 0], [0, 0, 4, 0, 1, 0, 0, 230]]"
68,80.49065421,0.499416232,0.785190511,0.76963569,0.766562392,1188687744,81.96721311,97.43589744,60,65.17241379,83.60655738,37.76223776,91.89189189,97.87234043,"[[100, 1, 0, 17, 4, 0, 0, 0], [6, 304, 0, 1, 0, 0, 1, 0], [2, 0, 93, 13, 21, 1, 8, 17], [38, 0, 0, 189, 14, 32, 17, 0], [8, 0, 1, 11, 102, 0, 0, 0], [7, 0, 1, 81, 0, 54, 0, 0], [1, 9, 0, 15, 1, 0, 306, 1], [0, 0, 5, 0, 0, 0, 0, 230]]"
69,79.32242991,0.513445455,0.768794996,0.785445355,0.761286019,1202445704,86.06557377,97.43589744,65.16129032,37.24137931,74.59016393,77.62237762,92.79279279,97.44680851,"[[105, 1, 0, 6, 3, 7, 0, 0], [6, 304, 0, 1, 0, 0, 1, 0], [3, 0, 101, 9, 18, 4, 8, 12], [60, 0, 1, 108, 11, 92, 18, 0], [16, 0, 4, 11, 91, 0, 0, 0], [12, 0, 1, 19, 0, 111, 0, 0], [2, 8, 0, 12, 1, 1, 309, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
70,80.78271028,0.482972165,0.791040488,0.790290724,0.78079506,1221706848,69.67213115,96.47435897,74.83870968,44.13793103,68.85245902,85.31468531,95.4954955,97.44680851,"[[85, 1, 0, 15, 6, 15, 0, 0], [6, 301, 0, 1, 0, 0, 4, 0], [0, 0, 116, 11, 6, 6, 7, 9], [13, 0, 4, 128, 12, 113, 20, 0], [2, 0, 20, 16, 84, 0, 0, 0], [1, 0, 1, 19, 0, 122, 0, 0], [0, 2, 0, 10, 1, 1, 318, 1], [0, 0, 6, 0, 0, 0, 0, 229]]"
71,81.83411215,0.478547935,0.796342524,0.789726504,0.789685624,1240967992,64.75409836,96.79487179,79.35483871,55.51724138,70.49180328,72.72727273,96.3963964,95.74468085,"[[79, 1, 1, 27, 7, 7, 0, 0], [5, 302, 0, 1, 0, 0, 4, 0], [0, 0, 123, 9, 6, 4, 7, 6], [13, 1, 6, 161, 12, 77, 20, 0], [1, 0, 20, 15, 86, 0, 0, 0], [0, 0, 1, 37, 0, 104, 1, 0], [0, 3, 0, 8, 1, 0, 321, 0], [0, 0, 10, 0, 0, 0, 0, 225]]"
72,80.8411215,0.496773375,0.781930962,0.811878006,0.775461881,1261604932,82.78688525,96.79487179,78.06451613,30.68965517,87.70491803,80.41958042,97.2972973,95.74468085,"[[101, 1, 0, 3, 9, 7, 1, 0], [5, 302, 0, 1, 0, 0, 4, 0], [2, 0, 121, 3, 13, 4, 8, 4], [50, 1, 5, 89, 25, 94, 26, 0], [5, 0, 7, 3, 107, 0, 0, 0], [13, 0, 1, 13, 0, 115, 1, 0], [1, 4, 0, 2, 1, 1, 324, 0], [0, 0, 10, 0, 0, 0, 0, 225]]"
73,81.25,0.488041295,0.78148686,0.795919547,0.780847422,1278114484,72.13114754,96.47435897,69.03225806,51.37931034,93.44262295,63.63636364,94.89489489,95.74468085,"[[88, 1, 0, 11, 17, 5, 0, 0], [7, 301, 0, 1, 0, 0, 3, 0], [0, 0, 107, 7, 25, 4, 6, 6], [22, 0, 5, 149, 35, 64, 15, 0], [3, 0, 2, 3, 114, 0, 0, 0], [2, 0, 1, 48, 0, 91, 1, 0], [1, 3, 0, 7, 6, 0, 316, 0], [0, 0, 10, 0, 0, 0, 0, 225]]"
74,79.6728972,0.520780603,0.779307543,0.794837254,0.763970558,1294624036,68.85245902,95.19230769,65.16129032,36.55172414,95.08196721,84.61538462,93.39339339,97.0212766,"[[84, 1, 0, 5, 17, 15, 0, 0], [11, 297, 0, 1, 0, 0, 3, 0], [0, 0, 101, 5, 33, 4, 4, 8], [18, 0, 6, 106, 38, 110, 12, 0], [2, 0, 1, 3, 116, 0, 0, 0], [2, 0, 1, 18, 0, 121, 1, 0], [0, 2, 0, 7, 12, 1, 311, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
75,77.3364486,0.570922151,0.780325488,0.781470434,0.726150561,1315260976,68.85245902,96.47435897,61.93548387,13.10344828,94.26229508,95.8041958,97.2972973,97.44680851,"[[84, 1, 0, 1, 12, 24, 0, 0], [8, 301, 0, 1, 0, 0, 2, 0], [0, 0, 96, 0, 32, 8, 10, 9], [27, 0, 5, 38, 32, 153, 35, 0], [4, 0, 1, 2, 115, 0, 0, 0], [3, 0, 1, 1, 0, 137, 1, 0], [1, 4, 0, 1, 2, 1, 324, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
76,76.05140187,0.633803271,0.764126261,0.774787793,0.703153424,1329018936,79.50819672,97.75641026,56.12903226,4.482758621,95.90163934,91.60839161,96.996997,97.44680851,"[[97, 1, 0, 0, 10, 14, 0, 0], [5, 305, 0, 1, 0, 0, 1, 0], [3, 0, 87, 0, 33, 7, 14, 11], [47, 3, 2, 13, 29, 146, 50, 0], [4, 0, 0, 1, 117, 0, 0, 0], [9, 0, 1, 1, 0, 131, 1, 0], [1, 7, 0, 0, 1, 1, 323, 0], [0, 0, 5, 0, 1, 0, 0, 229]]"
77,74.18224299,0.680971314,0.751590171,0.759460041,0.686048807,1342776896,83.60655738,98.07692308,51.61290323,5.862068966,94.26229508,88.11188811,88.58858859,97.44680851,"[[102, 1, 0, 0, 10, 9, 0, 0], [4, 306, 0, 1, 0, 0, 1, 0], [3, 0, 80, 0, 46, 6, 12, 8], [67, 5, 1, 17, 29, 133, 38, 0], [6, 0, 0, 1, 115, 0, 0, 0], [14, 0, 1, 1, 0, 126, 1, 0], [2, 33, 0, 0, 2, 1, 295, 0], [0, 0, 5, 0, 1, 0, 0, 229]]"
78,79.61448598,0.526297579,0.779199397,0.787549781,0.761002984,1359286448,65.57377049,98.07692308,60,37.93103448,95.90163934,82.51748252,94.29429429,95.74468085,"[[80, 1, 0, 11, 18, 12, 0, 0], [4, 306, 0, 1, 0, 0, 1, 0], [0, 0, 93, 6, 39, 4, 7, 6], [17, 4, 3, 110, 36, 102, 18, 0], [2, 0, 0, 3, 117, 0, 0, 0], [2, 0, 1, 21, 0, 118, 1, 0], [1, 11, 0, 2, 4, 1, 314, 0], [0, 0, 9, 0, 1, 0, 0, 225]]"
79,80.66588785,0.489554241,0.798866457,0.754859155,0.756725741,1373044408,31.14754098,97.11538462,64.51612903,70.34482759,90.98360656,59.44055944,94.59459459,95.74468085,"[[38, 1, 0, 65, 17, 1, 0, 0], [5, 303, 0, 2, 0, 0, 2, 0], [0, 0, 100, 10, 28, 4, 6, 7], [5, 1, 0, 204, 22, 43, 15, 0], [0, 0, 1, 10, 111, 0, 0, 0], [0, 0, 1, 57, 0, 85, 0, 0], [0, 3, 0, 13, 2, 0, 315, 0], [0, 0, 10, 0, 0, 0, 0, 225]]"
80,82.06775701,0.469875149,0.808291014,0.774844964,0.783603151,1389553960,54.09836066,97.11538462,68.38709677,72.06896552,86.06557377,50.34965035,95.1951952,96.59574468,"[[66, 1, 0, 43, 11, 1, 0, 0], [5, 303, 0, 2, 0, 0, 2, 0], [0, 0, 106, 11, 20, 3, 7, 8], [11, 0, 2, 209, 16, 37, 15, 0], [0, 0, 3, 14, 105, 0, 0, 0], [0, 0, 1, 70, 0, 72, 0, 0], [0, 3, 0, 10, 2, 1, 317, 0], [0, 0, 8, 0, 0, 0, 0, 227]]"
81,83.41121495,0.461361383,0.805855607,0.81269037,0.808501391,1406063512,78.68852459,97.11538462,75.48387097,62.06896552,81.14754098,65.73426573,94.59459459,95.31914894,"[[96, 1, 0, 14, 8, 3, 0, 0], [6, 303, 0, 1, 0, 0, 2, 0], [0, 0, 117, 11, 11, 4, 6, 6], [19, 1, 5, 180, 16, 57, 12, 0], [3, 0, 9, 11, 99, 0, 0, 0], [4, 0, 1, 44, 0, 94, 0, 0], [0, 4, 0, 12, 1, 1, 315, 0], [0, 0, 11, 0, 0, 0, 0, 224]]"
82,82.12616822,0.467330549,0.792148812,0.796507339,0.791169157,1426700452,85.24590164,97.11538462,75.48387097,60.68965517,75.40983607,53.14685315,93.09309309,97.0212766,"[[104, 1, 0, 11, 5, 1, 0, 0], [6, 303, 0, 1, 0, 0, 2, 0], [2, 0, 117, 10, 11, 3, 5, 7], [44, 0, 3, 176, 11, 42, 14, 0], [5, 0, 12, 13, 92, 0, 0, 0], [9, 0, 1, 57, 0, 76, 0, 0], [0, 7, 0, 14, 1, 1, 310, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
83,80.43224299,0.491923166,0.7788327,0.800675194,0.773050443,1445961596,90.16393443,97.43589744,69.03225806,37.93103448,83.60655738,70.62937063,94.29429429,97.44680851,"[[110, 1, 0, 4, 4, 3, 0, 0], [6, 304, 0, 1, 0, 0, 1, 0], [3, 0, 107, 7, 18, 5, 5, 10], [75, 0, 3, 110, 12, 75, 15, 0], [11, 0, 4, 5, 102, 0, 0, 0], [18, 0, 1, 23, 0, 101, 0, 0], [3, 6, 0, 8, 1, 1, 314, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
