Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
11,41.92260097,1.649784503,0.525995895,0.463650027,0.379246412,319722928,93.05019305,0,70.61790668,77.96178344,1.695736434,9.872773537,32.17656012,96.45105896,97.2972973,0,30.89171975,"[[964, 0, 0, 0, 0, 0, 0, 32, 3, 0, 37], [167, 0, 509, 0, 0, 0, 0, 17, 25, 0, 66], [172, 0, 560, 0, 0, 0, 0, 0, 54, 0, 7], [23, 0, 32, 612, 0, 8, 0, 79, 0, 0, 31], [1109, 0, 158, 140, 35, 13, 0, 115, 23, 0, 471], [683, 0, 201, 8, 0, 194, 6, 56, 49, 0, 768], [1472, 0, 63, 1, 0, 15, 1057, 18, 77, 0, 582], [15, 0, 0, 0, 0, 0, 2, 1685, 35, 0, 10], [24, 0, 0, 0, 0, 0, 0, 25, 1764, 0, 0], [934, 0, 47, 7, 0, 3, 15, 1, 0, 0, 615], [952, 0, 122, 36, 0, 25, 5, 125, 37, 0, 582]]"
12,48.57689279,1.536678922,0.682477195,0.460323594,0.433574099,345394112,4.922779923,52.55102041,56.62042875,65.85987261,90.84302326,0,74.88584475,60.21751574,99.72421401,0.678175092,0.053078556,"[[51, 0, 0, 0, 931, 0, 0, 9, 34, 11, 0], [0, 412, 55, 0, 286, 0, 0, 0, 31, 0, 0], [0, 13, 449, 0, 262, 0, 3, 0, 66, 0, 0], [0, 0, 0, 517, 216, 0, 0, 51, 1, 0, 0], [0, 0, 0, 13, 1875, 0, 26, 53, 97, 0, 0], [0, 1, 43, 20, 1440, 0, 308, 8, 145, 0, 0], [0, 0, 0, 0, 668, 0, 2460, 0, 157, 0, 0], [0, 0, 0, 3, 20, 0, 3, 1052, 669, 0, 0], [0, 0, 0, 0, 5, 0, 0, 0, 1808, 0, 0], [0, 1, 0, 7, 1513, 0, 81, 0, 9, 11, 0], [0, 23, 0, 16, 1514, 0, 102, 51, 172, 5, 1]]"
13,61.55923051,1.225575639,0.601872617,0.602703138,0.56128679,380400272,77.8957529,47.32142857,32.91298865,83.69426752,0,68.70229008,87.57990868,95.9358901,98.12465527,64.11837238,6.687898089,"[[807, 0, 0, 0, 0, 49, 22, 18, 2, 122, 16], [113, 371, 0, 0, 0, 192, 0, 1, 0, 106, 1], [121, 166, 261, 0, 0, 229, 9, 0, 0, 3, 4], [0, 0, 0, 657, 0, 46, 0, 70, 0, 11, 1], [357, 0, 0, 207, 0, 940, 2, 84, 7, 351, 116], [250, 3, 0, 13, 0, 1350, 100, 23, 15, 173, 38], [5, 0, 0, 1, 0, 312, 2877, 2, 37, 45, 6], [0, 0, 0, 11, 0, 21, 5, 1676, 28, 3, 3], [5, 0, 0, 0, 0, 2, 5, 22, 1779, 0, 0], [83, 0, 0, 10, 0, 389, 71, 0, 0, 1040, 29], [259, 1, 0, 43, 0, 868, 103, 86, 14, 384, 126]]"
14,63.45483181,1.037216623,0.606511228,0.615620768,0.570882662,415406432,78.86100386,21.81122449,73.51828499,82.67515924,48.98255814,29.56743003,97.07762557,95.59244419,99.17264203,49.07521578,0.8492569,"[[817, 0, 0, 0, 32, 21, 39, 44, 2, 81, 0], [74, 171, 396, 0, 96, 5, 5, 10, 2, 25, 0], [95, 0, 583, 0, 86, 5, 16, 0, 6, 2, 0], [0, 0, 1, 649, 15, 29, 7, 82, 0, 2, 0], [256, 19, 41, 95, 1011, 197, 151, 135, 33, 113, 13], [247, 6, 110, 30, 168, 581, 592, 51, 75, 96, 9], [1, 0, 0, 1, 14, 21, 3189, 0, 57, 2, 0], [0, 0, 0, 0, 4, 4, 7, 1670, 61, 1, 0], [5, 0, 0, 0, 0, 0, 4, 6, 1798, 0, 0], [112, 6, 18, 13, 66, 130, 466, 0, 7, 796, 8], [234, 36, 44, 35, 396, 254, 456, 146, 75, 192, 16]]"
15,65.67105411,0.947411398,0.659112435,0.641019874,0.588867658,450412592,77.60617761,13.90306122,81.5889029,86.11464968,30.66860465,59.13486005,93.45509893,94.50486548,99.17264203,66.58446363,2.388535032,"[[804, 0, 4, 0, 5, 66, 19, 20, 2, 108, 8], [92, 109, 456, 0, 16, 52, 2, 0, 0, 57, 0], [91, 0, 647, 0, 11, 30, 11, 0, 0, 3, 0], [0, 0, 0, 676, 4, 34, 0, 60, 0, 11, 0], [232, 2, 84, 150, 633, 593, 14, 86, 8, 241, 21], [232, 0, 68, 29, 43, 1162, 207, 20, 26, 170, 8], [3, 0, 0, 1, 7, 134, 3070, 0, 53, 17, 0], [0, 0, 0, 14, 0, 17, 5, 1651, 59, 1, 0], [2, 0, 0, 0, 0, 5, 8, 0, 1798, 0, 0], [91, 0, 9, 16, 13, 265, 132, 0, 5, 1080, 11], [203, 12, 22, 51, 198, 706, 171, 71, 41, 364, 45]]"
16,64.7598155,1.001554483,0.647087421,0.64017239,0.592461414,485418752,89.28571429,13.52040816,84.99369483,86.75159236,40.74612403,27.78625954,89.8021309,98.85518031,98.06949807,44.38964242,29.98938429,"[[925, 0, 14, 0, 6, 9, 1, 37, 2, 11, 31], [140, 106, 495, 0, 16, 2, 0, 7, 0, 4, 14], [102, 0, 674, 0, 7, 0, 4, 0, 0, 0, 6], [0, 0, 1, 681, 13, 2, 0, 76, 0, 1, 11], [452, 0, 110, 140, 841, 65, 1, 134, 4, 39, 278], [351, 1, 184, 86, 210, 546, 158, 70, 15, 61, 283], [44, 0, 11, 1, 65, 67, 2950, 14, 61, 17, 55], [0, 0, 0, 3, 0, 0, 5, 1727, 1, 0, 11], [5, 0, 0, 0, 0, 1, 3, 26, 1778, 0, 0], [246, 4, 21, 21, 42, 100, 79, 0, 4, 720, 385], [341, 21, 46, 78, 332, 98, 85, 180, 29, 109, 565]]"
17,62.77984025,1.027505058,0.644508927,0.621632031,0.558952335,515757424,79.92277992,17.85714286,91.55107188,89.68152866,39.87403101,59.69465649,91.05022831,88.32283915,99.50358522,25.64734895,0.690021231,"[[828, 0, 58, 0, 13, 101, 5, 21, 7, 3, 0], [75, 140, 497, 0, 16, 52, 1, 0, 0, 3, 0], [48, 0, 726, 0, 6, 6, 7, 0, 0, 0, 0], [0, 0, 1, 704, 8, 16, 0, 56, 0, 0, 0], [198, 2, 183, 247, 823, 458, 3, 80, 28, 35, 7], [212, 0, 148, 80, 107, 1173, 149, 16, 70, 9, 1], [2, 0, 13, 1, 22, 169, 2991, 0, 87, 0, 0], [0, 0, 0, 15, 0, 18, 4, 1543, 167, 0, 0], [1, 0, 1, 0, 0, 4, 3, 0, 1804, 0, 0], [114, 1, 21, 20, 87, 786, 164, 0, 8, 416, 5], [161, 16, 73, 97, 453, 720, 108, 55, 118, 70, 13]]"
18,66.59354258,0.98038923,0.649479746,0.678526631,0.61812802,541428608,73.16602317,63.52040816,82.47162673,88.28025478,57.84883721,8.244274809,91.62861492,98.39725243,97.1869829,85.6350185,0,"[[758, 0, 11, 0, 80, 2, 3, 27, 2, 153, 0], [49, 498, 70, 0, 93, 0, 0, 3, 0, 71, 0], [74, 1, 654, 0, 45, 0, 5, 0, 0, 14, 0], [0, 0, 0, 693, 8, 0, 0, 68, 0, 16, 0], [119, 8, 40, 192, 1194, 10, 7, 110, 1, 383, 0], [173, 7, 109, 142, 533, 162, 241, 55, 13, 530, 0], [0, 0, 0, 2, 106, 7, 3010, 7, 64, 89, 0], [0, 0, 0, 10, 11, 0, 5, 1719, 0, 2, 0], [3, 0, 0, 1, 2, 0, 4, 41, 1762, 0, 0], [40, 1, 1, 20, 104, 0, 63, 0, 4, 1389, 0], [139, 18, 15, 112, 653, 1, 134, 149, 25, 638, 0]]"
19,63.11733603,1.01667104,0.643642817,0.648194696,0.589204466,576434768,89.18918919,66.96428571,80.83228247,89.55414013,17.15116279,13.84223919,93.30289193,96.45105896,99.00717044,0,66.71974522,"[[924, 0, 4, 0, 1, 5, 3, 7, 1, 0, 91], [146, 525, 70, 0, 5, 4, 0, 0, 0, 0, 34], [103, 8, 641, 0, 20, 2, 5, 0, 0, 0, 14], [0, 0, 0, 703, 1, 0, 0, 30, 0, 0, 51], [300, 16, 72, 274, 354, 16, 6, 30, 5, 0, 991], [283, 5, 102, 133, 63, 272, 255, 16, 27, 0, 809], [2, 0, 0, 2, 12, 3, 3065, 0, 75, 0, 126], [0, 0, 0, 16, 0, 0, 5, 1685, 14, 0, 27], [4, 0, 0, 1, 0, 0, 4, 2, 1795, 0, 7], [121, 4, 5, 15, 5, 24, 100, 0, 1, 0, 1347], [234, 23, 19, 118, 51, 9, 89, 52, 32, 0, 1257]]"
20,64.36044549,1.004077191,0.75287923,0.649187801,0.617427499,606773440,85.42471042,66.96428571,68.97856242,84.7133758,60.1744186,73.18066158,83.01369863,95.59244419,93.93270822,0.061652281,2.070063694,"[[885, 0, 0, 0, 44, 99, 0, 7, 1, 0, 0], [98, 525, 37, 0, 47, 77, 0, 0, 0, 0, 0], [94, 60, 547, 0, 36, 56, 0, 0, 0, 0, 0], [0, 2, 0, 665, 49, 37, 0, 30, 0, 0, 2], [196, 5, 16, 31, 1242, 527, 0, 28, 0, 0, 19], [234, 4, 41, 5, 188, 1438, 43, 8, 0, 0, 4], [2, 0, 0, 1, 62, 478, 2727, 0, 15, 0, 0], [0, 0, 0, 16, 7, 49, 4, 1670, 1, 0, 0], [0, 0, 0, 0, 0, 86, 11, 13, 1703, 0, 0], [100, 0, 0, 10, 189, 1279, 36, 0, 0, 1, 7], [188, 19, 5, 22, 693, 849, 36, 32, 1, 0, 39]]"
