Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
35,73.07346158,0.775549889,0.753541741,0.731072868,0.716318522,839017088,82.23938224,65.68877551,85.37200504,85.98726115,61.19186047,70.17811705,92.26788432,99.42759015,97.73855488,44.82120838,19.26751592,"[[852, 15, 30, 0, 24, 94, 3, 13, 0, 5, 0], [76, 515, 128, 0, 28, 29, 0, 0, 0, 8, 0], [72, 0, 677, 0, 9, 27, 6, 0, 0, 1, 1], [0, 0, 1, 675, 17, 8, 0, 74, 0, 1, 9], [140, 28, 65, 21, 1263, 346, 1, 94, 0, 26, 80], [213, 4, 59, 4, 155, 1379, 57, 19, 2, 24, 49], [0, 0, 2, 1, 91, 85, 3031, 0, 70, 2, 3], [0, 0, 0, 1, 0, 0, 5, 1737, 0, 0, 4], [0, 0, 0, 0, 0, 9, 17, 11, 1772, 0, 4], [94, 5, 4, 9, 195, 475, 87, 0, 4, 727, 22], [148, 13, 9, 17, 605, 468, 69, 102, 26, 64, 363]]"
36,75.27280909,0.729067671,0.763775234,0.753847577,0.744595099,865236372,82.81853282,74.61734694,80.83228247,87.77070064,54.94186047,72.72264631,94.27701674,99.2558672,97.51792609,55.17879162,29.29936306,"[[858, 10, 20, 0, 11, 108, 5, 11, 1, 8, 4], [80, 585, 55, 0, 16, 37, 0, 0, 0, 11, 0], [84, 4, 641, 0, 7, 49, 6, 0, 0, 1, 1], [0, 0, 0, 689, 6, 5, 0, 69, 0, 1, 15], [145, 29, 51, 62, 1134, 394, 2, 76, 0, 36, 135], [192, 10, 10, 12, 109, 1429, 71, 12, 1, 39, 80], [1, 0, 0, 1, 54, 58, 3097, 0, 62, 7, 5], [0, 0, 0, 2, 0, 0, 5, 1734, 0, 0, 6], [0, 0, 0, 0, 0, 6, 21, 8, 1768, 0, 10], [89, 2, 0, 8, 105, 381, 95, 0, 4, 895, 43], [155, 14, 2, 31, 408, 411, 81, 88, 21, 121, 552]]"
37,76.28529643,0.70566103,0.759552321,0.767787872,0.754498439,893328462,84.65250965,76.65816327,84.48928121,85.60509554,42.68410853,53.63867684,95.49467275,99.2558672,96.96635411,68.43403206,56.68789809,"[[877, 10, 29, 0, 10, 38, 6, 9, 0, 17, 40], [88, 601, 58, 0, 12, 13, 0, 0, 0, 12, 0], [79, 5, 670, 0, 3, 24, 6, 0, 0, 1, 5], [0, 0, 1, 672, 0, 2, 0, 72, 0, 1, 37], [166, 43, 69, 72, 881, 165, 1, 59, 0, 64, 544], [231, 20, 58, 16, 82, 1054, 89, 11, 2, 99, 303], [4, 0, 1, 1, 35, 14, 3137, 0, 68, 17, 8], [0, 0, 0, 1, 0, 0, 5, 1734, 0, 0, 7], [2, 0, 0, 0, 0, 3, 20, 8, 1758, 0, 22], [98, 0, 0, 7, 37, 151, 78, 0, 3, 1110, 138], [163, 15, 10, 24, 152, 108, 73, 80, 12, 179, 1068]]"
38,76.57779278,0.697774734,0.758287925,0.772690516,0.755636465,921420552,82.81853282,76.2755102,87.64186633,84.84076433,55.23255814,45.19083969,93.45509893,99.37034917,98.12465527,79.71639951,47.29299363,"[[858, 16, 32, 0, 32, 17, 4, 12, 1, 25, 39], [68, 598, 70, 0, 28, 4, 0, 0, 0, 16, 0], [66, 2, 695, 0, 10, 8, 4, 0, 0, 4, 4], [0, 0, 1, 666, 1, 0, 0, 74, 0, 4, 39], [136, 36, 68, 45, 1140, 87, 0, 68, 0, 156, 328], [217, 17, 118, 10, 175, 888, 53, 18, 2, 222, 245], [2, 0, 1, 1, 59, 9, 3070, 1, 73, 55, 14], [0, 0, 0, 0, 0, 0, 5, 1736, 0, 0, 6], [2, 0, 0, 0, 0, 0, 13, 7, 1779, 0, 12], [83, 2, 6, 5, 64, 73, 39, 0, 4, 1293, 53], [147, 15, 19, 20, 277, 61, 57, 85, 12, 300, 891]]"
39,74.19282259,0.728167189,0.756279173,0.754697396,0.734673824,947639836,79.53667954,74.87244898,89.78562421,82.92993631,63.42054264,30.53435115,87.51902588,99.02690326,97.95918367,84.40197287,40.18046709,"[[824, 31, 38, 0, 65, 4, 0, 5, 0, 36, 33], [50, 587, 83, 0, 45, 1, 0, 0, 0, 18, 0], [51, 2, 712, 0, 16, 3, 1, 0, 0, 8, 0], [0, 0, 1, 651, 2, 0, 0, 71, 0, 7, 53], [113, 29, 69, 16, 1309, 42, 0, 39, 0, 208, 239], [187, 16, 165, 5, 376, 600, 28, 10, 2, 364, 212], [0, 0, 6, 1, 119, 8, 2875, 0, 73, 166, 37], [0, 0, 0, 0, 0, 0, 5, 1730, 0, 0, 12], [2, 0, 0, 0, 0, 0, 7, 4, 1776, 0, 24], [53, 3, 15, 1, 107, 26, 21, 0, 1, 1369, 26], [127, 13, 24, 9, 457, 21, 35, 62, 10, 369, 757]]"
40,75.72280346,0.708090466,0.754434581,0.765854167,0.747260671,971986314,79.24710425,77.42346939,90.41614124,82.92993631,64.34108527,58.82951654,89.28462709,99.37034917,97.90402648,75.09247842,27.60084926,"[[821, 41, 40, 0, 66, 31, 1, 8, 0, 24, 4], [56, 607, 74, 0, 29, 6, 0, 0, 0, 12, 0], [48, 2, 717, 0, 11, 9, 3, 0, 0, 3, 0], [0, 0, 1, 651, 6, 7, 0, 76, 0, 6, 38], [123, 42, 89, 11, 1328, 177, 0, 51, 0, 124, 119], [184, 23, 127, 0, 221, 1156, 17, 10, 2, 167, 58], [0, 0, 17, 1, 101, 60, 2933, 1, 70, 95, 7], [0, 0, 0, 0, 0, 0, 5, 1736, 0, 0, 6], [1, 0, 1, 0, 0, 4, 12, 4, 1775, 0, 16], [57, 3, 16, 1, 106, 185, 22, 0, 4, 1218, 10], [132, 18, 29, 8, 583, 180, 42, 71, 8, 293, 520]]"
41,76.46529418,0.697649035,0.750594959,0.772328346,0.754745091,996332792,76.44787645,81.63265306,91.29886507,82.03821656,55.37790698,65.64885496,90.95890411,99.31310819,97.40761169,72.44143033,36.99575372,"[[792, 68, 39, 0, 24, 64, 3, 5, 0, 17, 24], [49, 640, 56, 0, 13, 14, 0, 0, 0, 12, 0], [42, 5, 724, 0, 3, 12, 3, 0, 0, 3, 1], [0, 0, 1, 644, 1, 8, 0, 76, 0, 3, 52], [121, 117, 66, 15, 1143, 258, 0, 45, 0, 86, 213], [161, 39, 99, 0, 123, 1290, 19, 9, 2, 130, 93], [0, 0, 21, 1, 56, 79, 2988, 1, 66, 63, 10], [0, 0, 0, 0, 0, 0, 5, 1735, 0, 0, 7], [0, 0, 2, 0, 0, 4, 14, 6, 1766, 0, 21], [46, 7, 18, 1, 73, 243, 27, 0, 3, 1175, 29], [134, 25, 28, 6, 407, 213, 45, 65, 7, 257, 697]]"
42,76.17279784,0.702666893,0.773377573,0.764137816,0.760799246,1018806464,72.58687259,75.38265306,90.79445145,82.03821656,56.49224806,77.55725191,88.82800609,99.08414425,97.57308329,61.46732429,38.74734607,"[[752, 42, 39, 0, 19, 145, 2, 6, 0, 8, 23], [32, 591, 76, 0, 13, 60, 0, 0, 0, 12, 0], [36, 1, 720, 0, 4, 26, 3, 0, 0, 2, 1], [0, 0, 1, 644, 1, 8, 0, 71, 0, 1, 59], [74, 72, 43, 16, 1166, 397, 0, 30, 0, 34, 232], [81, 14, 60, 0, 109, 1524, 15, 5, 0, 64, 93], [0, 0, 10, 1, 64, 182, 2918, 0, 62, 34, 14], [0, 0, 0, 0, 0, 0, 5, 1731, 1, 0, 10], [0, 0, 0, 0, 0, 7, 13, 3, 1769, 0, 21], [16, 4, 13, 1, 84, 439, 22, 0, 1, 997, 45], [107, 9, 22, 5, 423, 368, 33, 59, 5, 123, 730]]"
43,72.82596468,0.774068256,0.807998696,0.72139406,0.73208769,1041280136,70.46332046,67.4744898,79.0668348,82.29299363,31.34689922,91.75572519,92.87671233,99.2558672,97.1318257,47.10234279,34.76645435,"[[730, 9, 30, 0, 2, 244, 4, 6, 0, 4, 7], [18, 529, 50, 0, 0, 176, 0, 0, 0, 11, 0], [33, 1, 627, 0, 0, 124, 5, 0, 0, 1, 2], [0, 0, 0, 646, 0, 19, 1, 71, 0, 1, 47], [58, 60, 20, 35, 647, 978, 1, 32, 0, 16, 217], [44, 2, 6, 0, 5, 1803, 23, 4, 0, 28, 50], [0, 0, 2, 1, 10, 169, 3051, 0, 44, 4, 4], [0, 0, 0, 0, 0, 0, 5, 1734, 1, 0, 7], [0, 0, 0, 0, 0, 9, 23, 3, 1761, 0, 17], [8, 0, 1, 1, 18, 732, 60, 0, 2, 764, 36], [102, 0, 8, 7, 80, 838, 47, 53, 4, 90, 655]]"
44,76.23467207,0.703025109,0.789078852,0.75966924,0.75704328,1063753808,71.52509653,74.10714286,87.38965952,84.20382166,37.69379845,84.8346056,95.82952816,99.37034917,98.17981247,62.26880395,40.23354565,"[[741, 21, 34, 0, 3, 196, 5, 9, 0, 7, 20], [18, 581, 65, 0, 1, 107, 0, 0, 0, 12, 0], [33, 2, 693, 0, 0, 56, 6, 0, 0, 1, 2], [0, 0, 1, 661, 0, 8, 0, 72, 0, 3, 40], [60, 55, 75, 50, 778, 672, 1, 42, 0, 55, 276], [45, 10, 25, 0, 18, 1667, 46, 6, 4, 71, 73], [0, 0, 3, 1, 12, 48, 3148, 0, 59, 13, 1], [0, 0, 0, 0, 0, 0, 5, 1736, 1, 0, 5], [0, 0, 0, 0, 0, 4, 22, 2, 1780, 0, 5], [8, 1, 6, 4, 17, 453, 85, 0, 3, 1010, 35], [104, 8, 18, 9, 105, 532, 75, 69, 11, 195, 758]]"
