Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
11,44.94318821,1.597924693,0.439891612,0.477122803,0.399243354,639273410,89.38223938,0,71.37452711,73.24840764,0,16.8956743,45.14459665,98.16828849,95.64258136,0,34.97876858,"[[926, 0, 1, 0, 0, 0, 0, 40, 2, 0, 67], [134, 0, 543, 0, 0, 0, 0, 54, 0, 0, 53], [160, 0, 566, 0, 0, 0, 0, 48, 0, 0, 19], [7, 0, 55, 575, 0, 10, 0, 83, 0, 0, 55], [942, 0, 213, 71, 0, 24, 0, 156, 6, 0, 652], [607, 0, 228, 3, 0, 332, 7, 77, 32, 0, 679], [1299, 0, 66, 0, 0, 58, 1483, 14, 107, 0, 258], [13, 0, 0, 0, 0, 0, 3, 1715, 7, 0, 9], [13, 0, 0, 0, 0, 0, 0, 66, 1734, 0, 0], [823, 0, 60, 7, 0, 13, 18, 0, 0, 0, 701], [831, 0, 174, 16, 0, 25, 5, 143, 31, 0, 659]]"
12,44.91506356,1.656264305,0.566601601,0.421674979,0.386383216,690601984,3.088803089,55.99489796,30.76923077,74.64968153,91.23062016,0,71.53729072,36.34802519,99.66905681,0.55487053,0,"[[32, 0, 0, 1, 938, 0, 0, 8, 40, 16, 1], [0, 439, 13, 3, 298, 0, 0, 0, 31, 0, 0], [0, 151, 244, 0, 337, 0, 2, 0, 59, 0, 0], [0, 0, 0, 586, 149, 0, 0, 46, 4, 0, 0], [0, 0, 0, 16, 1883, 0, 10, 37, 115, 0, 3], [0, 1, 16, 35, 1607, 0, 151, 0, 155, 0, 0], [0, 0, 0, 0, 774, 0, 2350, 0, 161, 0, 0], [0, 0, 0, 1, 15, 0, 4, 635, 1092, 0, 0], [0, 0, 0, 0, 5, 0, 1, 0, 1807, 0, 0], [0, 1, 0, 24, 1529, 0, 49, 0, 10, 9, 0], [0, 20, 0, 30, 1557, 0, 51, 21, 203, 2, 0]]"
13,53.90932613,1.336566408,0.601999155,0.53339808,0.486805757,760595494,79.34362934,2.933673469,53.59394704,80.63694268,0,81.67938931,65.93607306,95.53520321,93.10535025,33.23057953,0.743099788,"[[822, 0, 0, 0, 0, 109, 0, 5, 1, 81, 18], [103, 23, 298, 0, 0, 347, 0, 0, 0, 13, 0], [114, 0, 425, 0, 0, 250, 0, 0, 0, 4, 0], [0, 0, 0, 633, 0, 97, 0, 41, 0, 14, 0], [469, 0, 0, 113, 0, 1304, 0, 33, 0, 135, 10], [269, 0, 0, 0, 0, 1605, 14, 13, 5, 53, 6], [16, 0, 0, 1, 0, 1085, 2166, 0, 11, 6, 0], [0, 0, 0, 16, 0, 49, 4, 1669, 9, 0, 0], [10, 0, 0, 0, 0, 47, 21, 45, 1688, 0, 2], [158, 0, 1, 10, 0, 892, 22, 0, 0, 539, 0], [334, 0, 0, 31, 0, 1271, 21, 44, 1, 168, 14]]"
14,65.2716841,1.034049228,0.640557942,0.654511388,0.607404906,830589004,78.57142857,61.35204082,73.89659521,82.80254777,47.91666667,17.45547074,97.38203957,95.30623927,99.28295643,63.50184957,2.494692144,"[[814, 0, 0, 0, 24, 4, 38, 47, 6, 96, 7], [78, 481, 97, 0, 76, 1, 5, 24, 2, 20, 0], [98, 0, 586, 0, 77, 1, 15, 11, 1, 4, 0], [0, 2, 1, 650, 16, 19, 6, 83, 0, 8, 0], [313, 42, 48, 100, 989, 78, 148, 133, 43, 152, 18], [264, 18, 135, 64, 245, 343, 610, 50, 70, 155, 11], [6, 0, 0, 1, 15, 15, 3199, 0, 47, 2, 0], [0, 0, 0, 1, 1, 0, 8, 1665, 70, 0, 2], [5, 0, 0, 0, 0, 0, 7, 1, 1800, 0, 0], [129, 7, 21, 17, 62, 29, 314, 0, 6, 1030, 7], [269, 64, 47, 39, 400, 122, 417, 142, 74, 263, 47]]"
15,65.44605692,0.970659073,0.653062165,0.636957822,0.58963737,900582514,72.87644788,13.39285714,81.33669609,87.2611465,31.83139535,67.88804071,92.20700152,94.67658844,97.73855488,60.54254007,0.902335456,"[[755, 0, 4, 0, 24, 123, 11, 28, 2, 89, 0], [57, 105, 486, 0, 37, 67, 0, 0, 0, 32, 0], [87, 0, 645, 0, 13, 37, 8, 0, 0, 3, 0], [0, 0, 0, 685, 3, 41, 0, 54, 0, 2, 0], [119, 1, 95, 158, 657, 780, 2, 83, 6, 147, 16], [170, 0, 79, 43, 77, 1334, 113, 18, 18, 105, 8], [1, 0, 0, 1, 14, 213, 3029, 0, 22, 5, 0], [0, 0, 0, 18, 0, 21, 5, 1654, 49, 0, 0], [2, 0, 0, 0, 0, 7, 32, 0, 1772, 0, 0], [55, 0, 6, 26, 34, 405, 104, 0, 4, 982, 6], [156, 13, 20, 61, 263, 909, 127, 62, 22, 234, 17]]"
16,63.69107886,1.029993601,0.659932088,0.633415409,0.585686643,970576024,90.63706564,14.03061224,82.84993695,85.98726115,33.72093023,21.22137405,87.18417047,99.02690326,98.23496966,48.08877928,35.77494692,"[[939, 0, 8, 0, 3, 2, 1, 33, 1, 13, 36], [139, 110, 501, 0, 8, 2, 0, 7, 0, 2, 15], [127, 0, 657, 0, 4, 0, 0, 0, 0, 0, 5], [3, 0, 1, 675, 5, 1, 0, 76, 0, 0, 24], [572, 6, 136, 113, 696, 39, 0, 122, 1, 26, 353], [441, 3, 205, 93, 165, 417, 114, 62, 11, 55, 399], [118, 0, 11, 1, 65, 40, 2864, 1, 68, 22, 95], [0, 0, 0, 2, 0, 0, 5, 1730, 1, 0, 9], [6, 0, 0, 0, 0, 0, 4, 22, 1781, 0, 0], [360, 1, 14, 20, 40, 24, 55, 0, 0, 780, 328], [481, 28, 51, 61, 201, 34, 61, 165, 31, 97, 674]]"
17,63.02171223,1.00939906,0.678185415,0.621235718,0.566821323,1031237066,72.2007722,16.07142857,92.93820933,89.93630573,37.35465116,69.51653944,89.7716895,90.55523755,99.33811362,25.09247842,0.583864119,"[[748, 1, 73, 0, 19, 147, 4, 18, 5, 21, 0], [38, 126, 525, 0, 10, 79, 0, 0, 0, 6, 0], [36, 0, 737, 0, 4, 11, 5, 0, 0, 0, 0], [0, 0, 1, 706, 3, 26, 0, 49, 0, 0, 0], [98, 3, 227, 183, 771, 645, 2, 76, 12, 43, 4], [128, 0, 182, 55, 82, 1366, 97, 11, 34, 8, 2], [0, 0, 8, 1, 25, 241, 2949, 0, 61, 0, 0], [0, 0, 0, 18, 0, 17, 5, 1582, 125, 0, 0], [0, 0, 0, 0, 0, 7, 5, 0, 1801, 0, 0], [42, 0, 19, 24, 69, 956, 99, 0, 6, 407, 0], [125, 16, 104, 71, 364, 920, 88, 43, 85, 57, 11]]"
18,66.32917089,0.980870869,0.643639286,0.66851875,0.60615308,1082565640,78.28185328,69.77040816,61.16015132,89.55414013,64.24418605,1.832061069,94.12480974,97.48139668,97.84886928,81.07274969,0,"[[811, 0, 0, 1, 93, 0, 6, 14, 1, 110, 0], [64, 547, 28, 0, 98, 0, 0, 0, 0, 47, 0], [80, 138, 485, 0, 77, 0, 4, 0, 0, 9, 0], [0, 0, 0, 703, 13, 0, 0, 48, 0, 21, 0], [154, 8, 4, 160, 1326, 5, 13, 61, 5, 328, 0], [219, 5, 58, 144, 742, 36, 303, 18, 16, 424, 0], [2, 0, 0, 1, 94, 2, 3092, 0, 50, 44, 0], [0, 0, 0, 17, 9, 0, 5, 1703, 11, 2, 0], [5, 0, 0, 1, 0, 0, 24, 9, 1774, 0, 0], [83, 0, 0, 17, 130, 0, 73, 0, 4, 1315, 0], [163, 15, 5, 116, 796, 0, 169, 79, 23, 518, 0]]"
19,61.67735403,1.004015873,0.663282068,0.637712647,0.579045945,1152559150,89.38223938,66.19897959,81.84110971,86.24203822,9.786821705,11.60305344,89.34550989,97.48139668,97.62824049,0,71.97452229,"[[926, 0, 5, 0, 1, 2, 1, 7, 1, 0, 93], [137, 519, 83, 0, 2, 2, 0, 0, 0, 0, 41], [120, 1, 649, 0, 6, 0, 3, 0, 0, 0, 14], [0, 0, 0, 677, 0, 0, 0, 35, 0, 0, 73], [375, 52, 53, 172, 202, 9, 3, 38, 0, 0, 1160], [312, 8, 119, 56, 32, 228, 177, 24, 10, 0, 999], [11, 0, 0, 2, 8, 4, 2935, 0, 67, 0, 258], [0, 0, 0, 11, 0, 0, 5, 1703, 3, 0, 25], [5, 0, 0, 1, 0, 0, 3, 15, 1770, 0, 19], [136, 0, 7, 11, 4, 10, 56, 0, 0, 0, 1398], [274, 17, 15, 61, 16, 0, 64, 57, 24, 0, 1356]]"
20,64.76544043,1.015973753,0.699938114,0.649388968,0.620918187,1213220192,84.36293436,62.37244898,70.36569987,85.60509554,59.59302326,75.97964377,85.29680365,95.82140813,93.65692223,0,1.27388535,"[[874, 1, 0, 0, 35, 120, 1, 5, 0, 0, 0], [77, 489, 42, 0, 62, 114, 0, 0, 0, 0, 0], [91, 20, 558, 0, 51, 73, 0, 0, 0, 0, 0], [0, 2, 0, 672, 28, 47, 0, 34, 0, 0, 2], [185, 5, 7, 39, 1230, 568, 0, 27, 0, 0, 3], [223, 0, 23, 4, 163, 1493, 46, 13, 0, 0, 0], [2, 0, 0, 1, 48, 422, 2802, 0, 10, 0, 0], [0, 0, 0, 19, 4, 46, 3, 1674, 1, 0, 0], [2, 0, 0, 0, 0, 78, 21, 14, 1698, 0, 0], [86, 0, 0, 11, 117, 1370, 38, 0, 0, 0, 0], [171, 10, 4, 22, 627, 957, 42, 26, 1, 0, 24]]"
