Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Confusion_Matrix
43,62.81921476,1.000001549,0.71428284,0.631309881,0.618216111,1297547047,71.71814672,73.21428571,73.01387137,87.13375796,0,79.23664122,99.9695586,98.34001145,74.24158853,9.494451295,28.07855626,"[[743, 2, 2, 0, 0, 146, 116, 2, 0, 0, 25], [15, 574, 23, 0, 0, 166, 5, 0, 0, 0, 1], [32, 42, 579, 0, 0, 122, 18, 0, 0, 0, 0], [0, 0, 0, 684, 0, 5, 18, 72, 0, 0, 6], [56, 5, 3, 43, 0, 1700, 38, 15, 0, 0, 204], [39, 1, 3, 11, 0, 1557, 242, 9, 2, 0, 101], [0, 0, 0, 0, 0, 0, 3284, 0, 1, 0, 0], [0, 0, 0, 5, 0, 1, 8, 1718, 1, 0, 14], [0, 0, 0, 0, 0, 0, 465, 2, 1346, 0, 0], [8, 0, 0, 10, 0, 512, 748, 0, 0, 154, 190], [54, 7, 0, 48, 0, 958, 273, 15, 0, 0, 529]]"
44,59.31488356,1.015219662,0.770879059,0.572705401,0.57306402,1325551662,46.23552124,57.27040816,52.08070618,78.59872611,0,99.28753181,90.92846271,97.08070979,98.40044126,8.076448829,2.016985138,"[[479, 3, 24, 0, 0, 524, 4, 0, 1, 1, 0], [0, 449, 1, 0, 0, 334, 0, 0, 0, 0, 0], [0, 62, 413, 0, 0, 318, 0, 0, 0, 0, 0], [0, 0, 0, 617, 0, 136, 0, 32, 0, 0, 0], [6, 1, 0, 0, 0, 2048, 0, 1, 0, 0, 8], [0, 0, 0, 0, 0, 1951, 3, 3, 0, 0, 8], [0, 0, 0, 1, 0, 258, 2987, 0, 39, 0, 0], [0, 0, 0, 7, 0, 27, 5, 1696, 0, 0, 12], [0, 0, 0, 0, 0, 14, 13, 2, 1784, 0, 0], [0, 0, 0, 0, 0, 1447, 39, 0, 4, 131, 1], [0, 3, 0, 5, 0, 1814, 16, 8, 0, 0, 38]]"
45,70.159748,0.812342852,0.769959881,0.679472208,0.646471284,1358223710,76.35135135,16.96428571,92.30769231,82.92993631,59.68992248,6.819338422,97.10806697,99.65655409,99.72421401,46.54747226,69.32059448,"[[791, 11, 81, 0, 58, 0, 14, 24, 1, 19, 37], [34, 133, 564, 0, 41, 0, 1, 0, 0, 0, 11], [32, 1, 732, 0, 15, 0, 7, 0, 0, 0, 6], [0, 0, 1, 651, 1, 0, 2, 81, 0, 0, 49], [90, 3, 130, 9, 1232, 1, 1, 39, 9, 0, 550], [92, 2, 220, 1, 565, 134, 94, 19, 39, 6, 793], [0, 0, 0, 1, 4, 0, 3190, 0, 86, 2, 2], [0, 0, 0, 0, 0, 0, 5, 1741, 1, 0, 0], [1, 0, 1, 0, 0, 0, 3, 0, 1808, 0, 0], [21, 1, 27, 0, 62, 6, 160, 0, 10, 755, 580], [76, 0, 34, 19, 253, 1, 57, 96, 37, 5, 1306]]"
46,75.47530656,0.693142666,0.798764338,0.747526796,0.739906156,1393229475,58.78378378,77.29591837,86.50693569,85.98726115,56.29844961,83.66412214,98.75190259,99.14138523,96.08383894,70.53020962,9.23566879,"[[609, 23, 67, 0, 18, 255, 16, 6, 0, 29, 13], [0, 606, 61, 0, 4, 103, 1, 0, 0, 9, 0], [26, 20, 686, 0, 2, 51, 6, 0, 0, 2, 0], [0, 0, 0, 675, 2, 21, 1, 74, 0, 10, 2], [18, 30, 59, 10, 1162, 644, 1, 19, 1, 80, 40], [2, 14, 87, 1, 91, 1644, 32, 10, 0, 64, 20], [0, 0, 0, 1, 0, 7, 3244, 0, 16, 17, 0], [0, 0, 0, 3, 0, 0, 5, 1732, 1, 0, 6], [0, 0, 0, 0, 0, 4, 65, 2, 1742, 0, 0], [0, 0, 0, 2, 20, 385, 71, 0, 0, 1144, 0], [2, 15, 2, 37, 270, 1005, 96, 36, 1, 246, 174]]"
47,66.93666329,0.957231069,0.825851714,0.670205627,0.68605217,1416566654,51.54440154,60.71428571,68.3480454,84.33121019,46.02713178,96.18320611,70.86757991,98.68345736,99.17264203,61.03575832,0.318471338,"[[534, 1, 23, 0, 4, 444, 0, 0, 0, 30, 0], [0, 476, 26, 0, 1, 275, 0, 0, 0, 6, 0], [14, 18, 542, 0, 0, 218, 0, 0, 0, 1, 0], [0, 0, 0, 662, 2, 66, 0, 55, 0, 0, 0], [6, 3, 6, 0, 950, 1026, 0, 0, 0, 73, 0], [0, 0, 2, 0, 34, 1890, 0, 2, 0, 37, 0], [0, 0, 0, 1, 4, 763, 2328, 0, 57, 132, 0], [0, 0, 0, 4, 0, 13, 0, 1724, 1, 1, 4], [0, 0, 0, 0, 0, 12, 3, 0, 1798, 0, 0], [0, 0, 0, 0, 15, 614, 3, 0, 0, 990, 0], [0, 7, 0, 6, 176, 1497, 13, 10, 1, 168, 6]]"
48,72.63471707,0.838900373,0.819472113,0.717797753,0.700196311,1446904983,91.89189189,57.27040816,68.22194199,83.31210191,50.19379845,78.21882952,95.22070015,98.91242129,98.84169884,67.01602959,0.477707006,"[[952, 0, 0, 0, 2, 61, 5, 0, 0, 16, 0], [242, 449, 5, 0, 4, 78, 0, 0, 0, 6, 0], [165, 6, 541, 0, 0, 79, 0, 0, 0, 2, 0], [13, 0, 0, 654, 10, 48, 0, 56, 0, 4, 0], [357, 1, 0, 0, 1036, 571, 1, 3, 0, 95, 0], [285, 0, 5, 0, 52, 1537, 7, 3, 2, 74, 0], [5, 0, 0, 0, 0, 68, 3128, 0, 38, 46, 0], [0, 0, 0, 5, 0, 6, 5, 1728, 3, 0, 0], [4, 0, 0, 0, 0, 2, 15, 0, 1792, 0, 0], [151, 0, 0, 0, 27, 331, 22, 0, 4, 1087, 0], [211, 8, 0, 7, 358, 955, 43, 16, 9, 268, 9]]"
49,73.64157948,0.743010136,0.795306131,0.732433831,0.719276308,1477243314,65.83011583,69.26020408,83.22824716,87.00636943,32.8003876,81.78117048,99.36073059,99.59931311,95.36679537,82.3674476,9.076433121,"[[682, 4, 7, 0, 1, 177, 68, 10, 1, 72, 14], [4, 543, 58, 0, 1, 158, 2, 0, 0, 18, 0], [32, 3, 660, 0, 0, 86, 11, 0, 0, 1, 0], [0, 0, 0, 683, 0, 2, 7, 75, 0, 16, 2], [35, 31, 43, 45, 677, 940, 12, 36, 1, 189, 55], [12, 4, 32, 6, 2, 1607, 95, 17, 6, 171, 13], [0, 0, 0, 0, 0, 0, 3264, 0, 17, 4, 0], [0, 0, 0, 2, 0, 0, 5, 1740, 0, 0, 0], [0, 0, 0, 0, 0, 0, 80, 4, 1729, 0, 0], [2, 0, 0, 8, 2, 161, 108, 0, 2, 1336, 3], [20, 11, 0, 80, 42, 843, 179, 67, 0, 471, 171]]"
50,57.94240072,1.156930959,0.844813374,0.59991896,0.599343394,1505247928,74.22779923,64.28571429,77.42749054,70.06369427,2.858527132,97.70992366,68.67579909,97.48139668,93.16050745,10.35758323,3.662420382,"[[769, 4, 25, 0, 0, 238, 0, 0, 0, 0, 0], [13, 504, 55, 0, 0, 212, 0, 0, 0, 0, 0], [32, 1, 614, 0, 0, 146, 0, 0, 0, 0, 0], [0, 4, 0, 550, 0, 185, 0, 39, 0, 0, 7], [53, 13, 4, 0, 59, 1922, 0, 0, 0, 0, 13], [31, 0, 3, 0, 0, 1920, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 1006, 2256, 0, 23, 0, 0], [0, 1, 0, 0, 0, 14, 0, 1703, 0, 0, 29], [0, 0, 0, 0, 0, 100, 8, 6, 1689, 0, 10], [8, 0, 0, 0, 0, 1441, 5, 0, 0, 168, 0], [45, 7, 0, 0, 0, 1760, 1, 2, 0, 0, 69]]"
51,72.02159973,0.713107367,0.775585609,0.697318952,0.687351675,1533252542,72.77992278,88.1377551,24.46406053,89.55414013,81.58914729,29.3129771,98.81278539,96.39381797,98.62107005,61.96054254,25.42462845,"[[754, 64, 0, 0, 126, 1, 51, 0, 2, 15, 23], [12, 691, 0, 0, 71, 3, 1, 0, 0, 6, 0], [33, 450, 194, 0, 96, 9, 9, 0, 0, 1, 1], [0, 0, 0, 703, 18, 0, 3, 52, 0, 1, 8], [50, 91, 0, 17, 1684, 15, 1, 4, 3, 35, 164], [37, 25, 10, 7, 1032, 576, 73, 6, 36, 37, 126], [0, 0, 0, 1, 1, 0, 3246, 0, 36, 1, 0], [0, 0, 0, 6, 0, 0, 5, 1684, 38, 0, 14], [0, 0, 0, 0, 0, 2, 23, 0, 1788, 0, 0], [7, 6, 0, 6, 316, 55, 164, 0, 8, 1005, 55], [38, 22, 0, 50, 1018, 30, 115, 11, 12, 109, 479]]"
52,59.16863539,1.030138012,0.849340784,0.575577327,0.578974987,1568258309,47.58687259,75,29.38209332,73.75796178,4.215116279,99.54198473,80.66971081,98.28277046,97.68339768,24.41430333,2.600849257,"[[493, 10, 0, 0, 0, 528, 1, 0, 0, 4, 0], [0, 588, 0, 0, 0, 196, 0, 0, 0, 0, 0], [0, 229, 233, 0, 0, 331, 0, 0, 0, 0, 0], [0, 5, 0, 579, 0, 146, 0, 47, 0, 0, 8], [2, 64, 0, 0, 87, 1904, 0, 0, 0, 6, 1], [0, 2, 0, 0, 0, 1956, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 599, 2650, 0, 35, 1, 0], [0, 1, 0, 0, 0, 6, 4, 1717, 0, 0, 19], [0, 0, 0, 0, 0, 25, 14, 3, 1771, 0, 0], [0, 0, 0, 0, 0, 1218, 8, 0, 0, 396, 0], [0, 14, 0, 0, 0, 1800, 11, 4, 0, 6, 49]]"
